화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,424.72,473.09,0.038
에멀젼C,전기,화성암,505.78,531.59,0.012
에멀젼C,전기,화성암,475.15,510.49,0.023
에멀젼C,전기,화성암,425.77,475.74,0.011000000000000001
에멀젼C,전기,화성암,439.95,487.19,0.012
에멀젼C,전기,화성암,430.54,481.15,0.024
에멀젼C,전기,화성암,432.1,484.16,0.013000000000000001
에멀젼C,전기,화성암,426.45,480.84,0.044000000000000004
에멀젼C,전기,화성암,470.58,514.44,0.028999999999999998
에멀젼C,전기,화성암,468.6,513.97,0.028999999999999998
에멀젼C,전기,화성암,417.94,477.49,0.027000000000000003
에멀젼C,전기,화성암,421.21,480.37,0.051
에멀젼C,전기,화성암,440.52,496.51,0.036000000000000004
에멀젼C,전기,화성암,433.4,491.92,0.024
에멀젼C,전기,화성암,434.81,493.74,0.043
에멀젼C,전기,화성암,436.38,495.72,0.012
에멀젼C,전기,화성암,424.63,487.16,0.016
에멀젼C,전기,화성암,428.58,490.93,0.012
에멀젼C,전기,화성암,584.07,605.31,0.013000000000000001
에멀젼C,전기,화성암,696.19,718.77,0.006999999999999999
에멀젼C,전기,화성암,698.0,720.63,0.028999999999999998
에멀젼C,전기,화성암,685.81,712.83,0.035
에멀젼C,전기,화성암,758.76,765.8,0.006
에멀젼C,전기,화성암,709.27,733.37,0.006999999999999999
에멀젼C,전기,화성암,696.54,725.8,0.009000000000000001
에멀젼C,전기,화성암,698.31,727.64,0.013000000000000001
에멀젼C,전기,화성암,730.8,751.35,0.028999999999999998
에멀젼C,전기,화성암,711.83,742.69,0.015
에멀젼C,전기,화성암,618.5,681.15,0.017
에멀젼C,전기,화성암,35.93,35.55,0.17
에멀젼C,전기,화성암,35.93,35.55,0.22
에멀젼C,전기,화성암,35.93,35.55,0.254
에멀젼C,전기,화성암,78.8,62.54,0.165
에멀젼C,전기,화성암,76.4,60.64,0.1
에멀젼C,전기,화성암,32.2,25.56,0.35
에멀젼C,전기,화성암,30.4,24.13,0.27
에멀젼C,전기,화성암,65.4,51.91,0.25
에멀젼C,전기,화성암,58.6,46.51,0.05
에멀젼C,전기,화성암,53.74,47.88,0.127
에멀젼C,전기,화성암,51.9,46.24,0.1
에멀젼C,전기,화성암,21.21,18.9,0.3
에멀젼C,전기,화성암,22.06,19.65,0.3
에멀젼C,전기,화성암,44.12,39.31,0.22
에멀젼C,전기,화성암,53.47,48.58,0.225
에멀젼C,전기,화성암,22.13,20.11,0.4
에멀젼C,전기,화성암,18.4,16.72,0.35
에멀젼C,전기,화성암,40.53,36.83,0.05
에멀젼C,전기,화성암,82.6,65.56,0.183
에멀젼C,전기,화성암,78.0,61.91,0.1
에멀젼C,전기,화성암,26.4,20.95,0.38
에멀젼C,전기,화성암,68.8,54.61,0.1
에멀젼C,전기,화성암,61.4,48.73,0.05
에멀젼C,전기,화성암,64.67,54.91,0.1
에멀젼C,전기,화성암,27.43,23.3,0.33
에멀젼C,전기,화성암,20.25,17.2,0.5
에멀젼C,전기,화성암,55.85,47.43,0.15
에멀젼C,전기,화성암,51.28,43.54,0.05
에멀젼C,전기,화성암,75.2,59.69,0.213
에멀젼C,전기,화성암,72.0,57.15,0.1
에멀젼C,전기,화성암,25.4,20.16,0.3
에멀젼C,전기,화성암,25.8,20.48,0.4
에멀젼C,전기,화성암,90.0,71.43,0.07
에멀젼C,전기,화성암,57.6,45.72,0.05
에멀젼C,전기,화성암,60.67,54.05,0.162
에멀젼C,전기,화성암,58.83,52.41,0.1
에멀젼C,전기,화성암,26.59,23.69,0.25
에멀젼C,전기,화성암,18.95,16.88,0.45
에멀젼C,전기,화성암,71.56,63.75,0.12
에멀젼C,전기,화성암,46.1,41.07,0.05
에멀젼C,전기,화성암,47.0,37.3,0.1
에멀젼C,전기,화성암,23.2,18.41,0.27
에멀젼C,전기,화성암,32.8,26.03,0.27
에멀젼C,전기,화성암,16.83,14.99,0.3
에멀젼C,전기,화성암,20.36,18.14,0.22
에멀젼C,전기,화성암,24.04,21.42,0.38
에멀젼C,전기,화성암,40.87,36.41,0.15
에멀젼C,전기,화성암,44.26,39.44,0.17
에멀젼C,전기,화성암,28.85,25.7,0.508
에멀젼C,전기,화성암,23.0,23.46,0.1
에멀젼C,전기,화성암,11.88,12.11,0.27
에멀젼C,전기,화성암,16.4,16.73,0.35
에멀젼C,전기,화성암,26.3,26.83,0.2
에멀젼C,전기,화성암,19.61,20.0,0.506
에멀젼C,전기,화성암,13.9,13.9,0.65
에멀젼C,전기,화성암,16.2,16.2,0.27
에멀젼C,전기,화성암,18.7,18.7,0.43
에멀젼C,전기,화성암,29.1,29.1,0.3
에멀젼C,전기,화성암,32.9,32.9,0.17
에멀젼C,전기,화성암,22.0,22.0,0.595
에멀젼C,전기,화성암,15.84,14.11,0.35
에멀젼C,전기,화성암,19.09,17.01,0.33
에멀젼C,전기,화성암,22.49,20.03,0.33
에멀젼C,전기,화성암,37.19,33.14,0.22
에멀젼C,전기,화성암,42.43,37.8,0.12
에멀젼C,전기,화성암,27.15,24.19,0.414
에멀젼C,전기,화성암,26.78,22.74,0.2
에멀젼C,전기,화성암,30.37,25.79,0.38
